id,created_at,user_id,transaction_type,amount
1,2015-02-07,9,earning,88.14
2,2015-02-20,1,earning,90.45
3,2015-02-07,11,earning,25.44
4,2015-02-23,6,charge,131.4
5,2015-02-03,14,charge,19.47
6,2015-02-26,18,charge,93.78
7,2015-01-31,7,charge,79.95
8,2015-02-22,5,charge,37.88
9,2015-01-29,14,charge,167.17
10,2015-03-01,14,charge,70.35
11,2015-02-04,12,earning,130.01
12,2015-02-21,9,earning,88.62
13,2015-03-04,19,charge,45.8
14,2015-02-05,8,charge,137.37
15,2015-03-03,5,earning,190.13
16,2015-02-16,11,earning,121.01
17,2015-03-12,13,earning,46.12
18,2015-02-01,13,earning,119.02
19,2015-02-10,2,charge,168.82
20,2015-01-28,20,earning,22.97
21,2015-02-22,1,earning,96.98
22,2015-02-04,12,earning,56.24
23,2015-02-18,13,charge,150.25
24,2015-02-19,13,charge,17.24
25,2015-02-11,13,charge,184.79
26,2015-02-27,7,charge,70.08
27,2015-03-16,12,earning,102.63
28,2015-02-20,1,earning,90.79
29,2015-01-25,5,earning,87.97
30,2015-02-13,15,charge,136.57
31,2015-02-18,4,charge,7.76
32,2015-03-05,16,earning,177.44
33,2015-03-12,11,earning,31.36
34,2015-02-07,8,charge,116.66
35,2015-01-27,3,charge,74.09
36,2015-02-16,20,earning,102.9
37,2015-02-11,3,earning,109.5
38,2015-02-04,12,charge,122.83
39,2015-02-28,14,charge,160.53
40,2015-03-05,1,charge,91.55
41,2015-02-24,16,charge,120.92
42,2015-02-27,10,charge,65.31
43,2015-03-13,13,charge,38.46
44,2015-03-13,11,charge,102.3
45,2015-03-13,2,charge,127.71
46,2015-02-04,8,charge,136.74
47,2015-01-25,12,charge,104.59
48,2015-02-19,19,earning,55.42
49,2015-03-03,12,charge,53.5
50,2015-02-01,14,charge,5.87
51,2015-03-14,1,charge,96.27
52,2015-03-05,12,charge,75.51
53,2015-02-27,20,charge,153.71
54,2015-02-20,16,earning,109.62
55,2015-02-01,14,earning,132.29
56,2015-01-24,19,charge,75.82
57,2015-03-04,4,charge,120.71
58,2015-02-13,6,earning,95.86
59,2015-02-05,9,earning,45.28
60,2015-03-15,10,charge,139.1
61,2015-03-09,19,charge,97.59
62,2015-01-23,14,earning,83.79
63,2015-03-10,18,charge,11.69
64,2015-02-04,7,charge,6.05
65,2015-01-30,9,charge,66.66
66,2015-03-16,16,charge,89.69
67,2015-01-29,7,earning,6.7
68,2015-02-07,20,charge,167.25
69,2015-01-26,2,charge,188.97
70,2015-02-15,10,earning,150.21
71,2015-02-13,9,earning,75.83
72,2015-02-22,3,earning,158.57
73,2015-01-31,1,earning,170.11
74,2015-02-24,12,charge,197.47
75,2015-01-27,2,earning,113.53
76,2015-02-14,6,charge,23.33
77,2015-02-03,12,charge,55.06
